CVE ID,Severity,CVSS,EPSS %,Risk Score,SSVC Priority,SSVC Notation,Title,Vendors,Published
CVE-2024-6670,CRITICAL,9.8,99.994,73,ATTEND,A/N/T,WhatsUp Gold HasErrors SQL Injection Authentication Bypass Vulnerability,Progress Software Corporation,2024-08-29
CVE-2025-30406,CRITICAL,9.0,99.278,71,ATTEND,A/N/T,CVE-2025-30406: Gladinet CentreStack through 16.1.10296.56315 (fixed in 16.4.10315.56368) has a deserialization vuln...,"For, Gladinet",2025-04-03
CVE-2024-21412,HIGH,8.1,99.847,71,ATTEND,A/N/T,Internet Shortcut Files Security Feature Bypass Vulnerability,Microsoft,2024-02-13
CVE-2024-58136,CRITICAL,9.0,99.31,71,ATTEND,A/N/T,"CVE-2024-58136: Yii 2 before 2.0.52 mishandles the attaching of behavior that is defined by an __class array key, a ...",Yiiframework,2025-04-10
CVE-2024-27954,CRITICAL,9.3,99.818,70,ATTEND,P/Y/P,WordPress Automatic plugin <= 3.92.0 - Unauthenticated Arbitrary File Download and SSRF vulnerability,"WordPress, Wp Automatic",2024-05-17
CVE-2024-20953,HIGH,8.8,98.904,70,ATTEND,A/N/T,CVE-2024-20953: Vulnerability in the Oracle Agile PLM product of Oracle Supply Chain (component: Export).   The supp...,Oracle,2024-02-17
CVE-2025-5086,CRITICAL,9.0,98.505,69,ATTEND,A/N/T,Deserialization of Untrusted Data vulnerability affecting DELMIA Apriso from Release 2020 through Release 2025,Dassault Systèmes,2025-06-02
CVE-2025-22457,CRITICAL,9.0,98.573,69,ATTEND,A/N/T,"CVE-2025-22457: A stack-based buffer overflow in Ivanti Connect Secure before version 22.7R2.6, Ivanti Policy Secure...",Ivanti,2025-04-03
CVE-2025-49704,HIGH,8.8,98.3,69,ATTEND,A/N/T,Microsoft SharePoint Remote Code Execution Vulnerability,Microsoft,2025-07-08
CVE-2024-8190,HIGH,7.2,99.699,69,ATTEND,A/N/T,CVE-2024-8190: An OS command injection vulnerability in Ivanti Cloud Services Appliance versions 4.6 Patch 518 and ...,Ivanti,2024-09-10
CVE-2024-49138,HIGH,7.8,99.337,69,ATTEND,A/N/T,Windows Common Log File System Driver Elevation of Privilege Vulnerability,Microsoft,2024-12-10
CVE-2024-38112,HIGH,7.5,99.709,69,ATTEND,A/N/T,Windows MSHTML Platform Spoofing Vulnerability,Microsoft,2024-07-09
CVE-2024-24759,CRITICAL,9.3,99.123,69,ATTEND,P/Y/P,MindsDB Vulnerable to Bypass of SSRF Protection with DNS Rebinding,"Mindsdb, The",2024-09-05
CVE-2024-29988,HIGH,8.8,98.364,69,ATTEND,A/N/T,SmartScreen Prompt Security Feature Bypass Vulnerability,Microsoft,2024-04-09
